epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,81.1796,0.54591,0.38301,1.0499,0.0678,0.8,0.15193,0.05004,2.42582,3.5459,3.36161,0.0011684,0.0011684,0.0011684
44,82.9842,0.52342,0.35403,1.03838,0.34118,0.5,0.44799,0.28661,1.25593,2.53526,1.8614,0.0011486,0.0011486,0.0011486
45,84.7806,0.48224,0.34732,0.99851,0.76627,0.4,0.61957,0.43705,1.0619,2.33884,1.47262,0.0011288,0.0011288,0.0011288
46,86.5601,0.52509,0.34551,1.04711,0.87148,0.6,0.82125,0.71484,0.68974,0.928,1.09045,0.001109,0.001109,0.001109
47,88.348,0.49473,0.32121,1.05086,0.89628,1,0.97682,0.86648,0.44004,0.39896,0.938,0.0010892,0.0010892,0.0010892
48,90.1634,0.45865,0.31194,0.99797,1,0.99651,0.995,0.89854,0.48342,0.33161,0.99876,0.0010694,0.0010694,0.0010694
49,91.9506,0.54494,0.35597,1.0251,0.88669,0.8,0.94825,0.7682,0.60504,0.53049,1.0211,0.0010496,0.0010496,0.0010496
50,93.7437,0.48617,0.33246,1.02106,0.60805,0.8,0.8103,0.65654,0.81454,0.79377,1.12597,0.0010298,0.0010298,0.0010298
51,95.5432,0.49222,0.32573,1.03444,1,0.59633,0.75344,0.51726,1.15393,1.08084,1.43901,0.00101,0.00101,0.00101
52,97.3617,0.51599,0.34731,1.01529,0.97963,0.4,0.59736,0.4235,0.99157,1.51693,1.41395,0.0009902,0.0009902,0.0009902
53,99.1577,0.48984,0.31386,1.01371,0.98606,0.4,0.65142,0.46668,0.89934,1.50083,1.39697,0.0009704,0.0009704,0.0009704
54,100.946,0.53165,0.34731,1.10248,0.83317,0.49951,0.68203,0.46139,0.95428,1.44089,1.45331,0.0009506,0.0009506,0.0009506
55,102.733,0.50806,0.33826,1.01098,0.65393,0.8,0.79681,0.56137,0.97714,0.97874,1.30704,0.0009308,0.0009308,0.0009308
56,104.543,0.49333,0.33402,1.05876,0.97485,1,0.995,0.69727,0.62964,0.79433,0.96996,0.000911,0.000911,0.000911
57,106.328,0.55024,0.32775,1.0409,0.89241,1,0.995,0.85848,0.41577,0.60611,0.87393,0.0008912,0.0008912,0.0008912
58,108.12,0.49209,0.33696,1.03322,0.94751,1,0.995,0.93402,0.33787,0.41219,0.83836,0.0008714,0.0008714,0.0008714
59,109.909,0.48064,0.32385,1.02306,0.98887,1,0.995,0.97683,0.26902,0.2311,0.81943,0.0008516,0.0008516,0.0008516
60,111.762,0.45398,0.29334,0.98798,0.99303,1,0.995,0.98498,0.28114,0.21059,0.81004,0.0008318,0.0008318,0.0008318
61,113.597,0.4369,0.28877,0.99435,0.99331,1,0.995,0.995,0.24504,0.17103,0.79778,0.000812,0.000812,0.000812
62,115.427,0.43589,0.29658,1.00066,0.99422,1,0.995,0.98309,0.24988,0.18969,0.80394,0.0007922,0.0007922,0.0007922
63,117.214,0.4812,0.29443,1.04169,0.99482,1,0.995,0.98554,0.28484,0.21871,0.83401,0.0007724,0.0007724,0.0007724
64,119.023,0.46821,0.29455,0.99281,0.99439,1,0.995,0.98591,0.27374,0.21877,0.82241,0.0007526,0.0007526,0.0007526
65,120.818,0.5051,0.31768,1.07158,0.99356,1,0.995,0.98391,0.30323,0.2201,0.8365,0.0007328,0.0007328,0.0007328
66,122.604,0.50881,0.30397,1.03342,0.99407,1,0.995,0.96423,0.34815,0.21593,0.85123,0.000713,0.000713,0.000713
67,124.412,0.50361,0.30391,1.02151,0.99431,1,0.995,0.98065,0.30296,0.20076,0.83713,0.0006932,0.0006932,0.0006932
68,126.225,0.42344,0.28152,0.97304,0.99421,1,0.995,0.96451,0.39341,0.26027,0.91163,0.0006734,0.0006734,0.0006734
69,128.024,0.51948,0.33025,1.03993,0.99445,1,0.995,0.95657,0.39725,0.27386,0.9116,0.0006536,0.0006536,0.0006536
70,129.818,0.45961,0.29757,1.01039,0.99431,1,0.995,0.97135,0.33605,0.23669,0.86269,0.0006338,0.0006338,0.0006338
71,131.604,0.44625,0.28174,1.04089,0.9945,1,0.995,0.98237,0.30982,0.21748,0.84327,0.000614,0.000614,0.000614
72,133.416,0.50163,0.31784,1.06554,0.99503,1,0.995,0.98547,0.33223,0.22751,0.85337,0.0005942,0.0005942,0.0005942
73,135.218,0.50447,0.35723,1.0243,0.99496,1,0.995,0.98609,0.342,0.213,0.86564,0.0005744,0.0005744,0.0005744
74,137.016,0.45447,0.31155,1.00986,0.99491,1,0.995,0.98809,0.32084,0.19026,0.85221,0.0005546,0.0005546,0.0005546
75,138.814,0.48929,0.29506,1.03313,0.99499,1,0.995,0.97989,0.27213,0.18151,0.82651,0.0005348,0.0005348,0.0005348
76,140.629,0.4409,0.29354,1.01361,0.99518,1,0.995,0.97965,0.23597,0.19726,0.79785,0.000515,0.000515,0.000515
77,142.422,0.42122,0.29152,0.9738,0.99509,1,0.995,0.98008,0.24402,0.20359,0.79845,0.0004952,0.0004952,0.0004952
78,144.215,0.41462,0.28186,0.97864,0.99516,1,0.995,0.97918,0.22412,0.18881,0.7948,0.0004754,0.0004754,0.0004754
79,146.006,0.4059,0.27724,0.98926,0.99452,1,0.995,0.98315,0.20823,0.1863,0.79159,0.0004556,0.0004556,0.0004556
80,147.817,0.41125,0.26342,1.00987,0.99523,1,0.995,0.98413,0.23033,0.16778,0.79465,0.0004358,0.0004358,0.0004358
81,149.616,0.40938,0.2658,0.98696,0.99529,1,0.995,0.9845,0.21724,0.17078,0.78275,0.000416,0.000416,0.000416
82,151.414,0.40944,0.2604,1.00183,0.99529,1,0.995,0.98247,0.20487,0.16444,0.77437,0.0003962,0.0003962,0.0003962
83,153.208,0.46802,0.27718,1.01406,0.99521,1,0.995,0.98106,0.20507,0.1504,0.77267,0.0003764,0.0003764,0.0003764
84,155.037,0.44273,0.26793,0.96137,0.99524,1,0.995,0.98077,0.20838,0.15465,0.77708,0.0003566,0.0003566,0.0003566
85,156.831,0.40433,0.24785,0.9943,0.9952,1,0.995,0.98275,0.20466,0.15411,0.77916,0.0003368,0.0003368,0.0003368
